price,macd_12_26_9,macdsig_12_26_9,macdhist_12_26_9,macd_6_13_4,macdsig_6_13_4,macdhist_6_13_4
2196.2,33.7100908831,37.4163859784,-3.7062950952,10.4019704916,15.4386360688,-5.0366655771
2218.85,33.2291851606,36.5789458148,-3.3497606542,11.351890237,13.803937736,-2.4520474991
2220.8,32.6292825557,35.789013163,-3.1597306073,11.7487027244,12.9818437314,-1.233141007
2204.05,30.4512473802,34.7214600064,-4.2702126262,9.1192531158,11.4368074851,-2.3175543694
2185.1,26.8861058908,33.1543891833,-6.2682832925,4.4300287384,8.6340959864,-4.2040672481
2212.55,25.9762530899,31.7187619646,-5.7425088748,5.2996861098,7.3003320358,-2.000645926
2234,26.6784908886,30.7107077494,-4.0322168608,8.680101394,7.8522397791,0.8278616149
2237.3,27.1878966753,30.0061455346,-2.8182488593,10.8668821233,9.0580967168,1.8087854066
2241.9,27.6441217597,29.5337407796,-1.8896190199,12.4193241159,10.4025876764,2.0167364394
2230.5,26.7771286291,28.9824183495,-2.2052897204,11.2343161882,10.7352790811,0.4990371071
2265.6,28.5927080439,28.9044762884,-0.3117682445,15.0645433268,12.4669847794,2.5975585474
2291.75,31.7753676076,29.4786545522,2.2967130554,20.5304153167,15.6923569943,4.8380583224
2303.15,34.8161935609,30.546162354,4.270031207,24.6674628486,19.2823993361,5.3850635126
2319.1,38.0742059909,32.0517710814,6.0224349095,28.4720853029,22.9582737228,5.5138115801
2312.3,39.6504356042,33.5715039859,6.0789316183,28.6678914871,25.2421208285,3.4257706586
2318.05,40.8922059781,35.0356443844,5.8565615937,28.4390833758,26.5209058474,1.9181775284
2353.65,44.2389809892,36.8763117053,7.3626692839,32.2239321495,28.8021163683,3.4218157813
2357,46.624186699,38.8258867041,7.7982999949,33.7044953927,30.763067978,2.9414274146
